Timestamp,Age,Year of Study ,Program/Stream ,How often do you use the college girls’ washroom facilities? ,How frequently are the washrooms cleaned during the day? ,"Are the toilets and wash basins in good working condition (no leakages, proper flushing, etc.)?  ",Is there a continuous supply of clean water in the washroom? ,"Are handwashing materials (soap, sanitizer) available and replenished regularly? ",Are dustbins available inside the washroom for sanitary waste disposal? ,How satisfied are you with the availability of sanitary napkin dispensers or vending machines? ,"Are proper sanitary napkin disposal facilities provided (e.g., incinerator or covered bins)? ","Are mirrors, lighting, and ventilation in good condition? ",Do you feel comfortable and safe while using the girls’ washroom? ,"Do you feel sick (e.g., nausea, headache, discomfort) after using the washroom? ","Overall, how satisfied are you with the hygiene and maintenance of the girls’ washrooms in your college? "
11/16/2025 20:26:37,19–20,TY,Science,Once a day,Once a day,Often,Sometimes,Sometimes,"Yes, in every cubicle",Satisfied,Partially available,Good,Always,Occasionally,Satisfied
11/16/2025 20:28:14,19–20,TY,Science,Occasionally,Once a day,Often,Always,Often,"Yes, in every cubicle",Neutral,"Yes, properly available",Good,Always,Never,Satisfied
11/16/2025 20:34:26,23 or above,TY,Science,Multiple times a day,Rarely,Rarely,Rarely,Rarely,No bins available,Dissatisfied,Not available,Poor,Rarely,Never,Dissatisfied
11/16/2025 20:35:57,23 or above,TY,Commerce,Multiple times a day,More than twice a day,Rarely,Rarely,Rarely,No bins available,Dissatisfied,Not available,Poor,Rarely,Never,Dissatisfied
11/16/2025 20:39:07,19–20,TY,"Professional Course (BMS, BAF, BBI, etc.)",Rarely,Once a day,Rarely,Often,Rarely,"Yes, in every cubicle",Neutral,"Yes, properly available",Fair,Rarely,Never,Neutral
11/16/2025 21:05:39,19–20,TY,"Professional Course (BMS, BAF, BBI, etc.)",Once a day,Once a day,Sometimes,Always,Rarely,"Yes, but not in all cubicles",Dissatisfied,Partially available,Fair,Sometimes,Never,Neutral
11/16/2025 21:09:16,19–20,TY,Science,Occasionally,Occasionally,Often,Sometimes,Rarely,"Yes, in every cubicle",Neutral,Partially available,Poor,Sometimes,Never,Neutral
11/16/2025 22:38:02,19–20,TY,"Professional Course (BMS, BAF, BBI, etc.)",Rarely,Once a day,Sometimes,Often,Rarely,"Yes, but not in all cubicles",Neutral,Partially available,Poor,Often,Rarely,Neutral
11/16/2025 23:40:50,19–20,TY,"Professional Course (BMS, BAF, BBI, etc.)",Once a day,Once a day,Often,Always,Rarely,"Yes, but not in all cubicles",Neutral,Partially available,Good,Often,Rarely,Neutral
11/17/2025 7:23:31,19–20,TY,Science,Rarely,Rarely,Sometimes,Often,Rarely,Only one common bin,Neutral,Not available,Poor,Rarely,Never,Neutral
11/17/2025 7:33:46,21–22,TY,Science,Rarely,Once a day,Sometimes,Sometimes,Rarely,Only one common bin,Dissatisfied,Partially available,Poor,Rarely,Rarely,Neutral
11/17/2025 11:23:42,19–20,TY,Bsc cs,Occasionally,More than twice a day,Sometimes,Often,Rarely,Only one common bin,Dissatisfied,Partially available,Good,Sometimes,Never,Neutral
11/17/2025 11:25:40,19–20,TY,Science,Multiple times a day,Once a day,Always,Sometimes,Sometimes,"Yes, in every cubicle",Satisfied,Not available,Good,Sometimes,Rarely,Satisfied
11/17/2025 11:30:36,19–20,TY,Science,Once a day,Once a day,Often,Often,Often,"Yes, in every cubicle",Satisfied,Partially available,Fair,Always,Rarely,Satisfied
